Gr Liv Area,Bedroom AbvGr,Neighborhood,Year Built,Year Remod/Add,Yr Sold,Total Bsmt SF,SalePrice
1022,2,OldTown,1922,1950,2007,1022,89500
1801,3,Gilbert,2005,2005,2006,893,239900
1053,3,NAmes,1958,1991,2006,1008,150000
1616,2,StoneBr,1995,1996,2010,1595,236500
1072,2,Edwards,2005,2005,2007,547,140000
1779,3,Sawyer,1955,1974,2006,1763,170000
1739,3,Somerst,1999,2000,2009,970,172500
1055,2,NPkVill,1975,1975,2009,1057,123000
1686,1,NridgHt,2006,2006,2006,1686,332200
987,2,BrDale,1971,1971,2008,483,89500
1158,3,SawyerW,2004,2004,2006,1158,158000
1114,3,SawyerW,2003,2004,2009,1114,153000
1555,2,Blmngtn,2005,2006,2009,1373,192500
1268,2,NAmes,1954,1954,2010,1268,132000
1299,3,Sawyer,1954,1995,2007,967,150000
1057,3,NAmes,1953,2007,2010,1057,109000
1039,3,Sawyer,1965,1965,2010,1039,131500
1134,2,NAmes,1960,2002,2007,1010,135000
1091,2,Mitchel,1993,1996,2009,384,131250
1646,4,Crawfor,1941,1950,2007,918,164000
2640,3,Somerst,2006,2006,2006,2036,405749
1052,3,NWAmes,1963,1963,2007,1052,127000
1392,2,Somerst,2007,2007,2008,689,146000
2324,4,NridgHt,2005,2006,2006,1175,345000
1206,3,NAmes,1959,1959,2010,1206,108538
1494,3,Sawyer,1974,2002,2010,1208,169000
1836,3,Somerst,2008,2009,2009,1836,264500
672,2,Edwards,1941,1950,2009,672,113000
1130,2,OldTown,1920,1950,2006,1120,120000
1073,2,Edwards,1956,1956,2009,1073,121500
1466,3,OldTown,1936,1989,2006,796,170000
1220,2,NWAmes,1971,1971,2007,1625,170000
1609,5,Edwards,1953,1953,2006,1000,149900
1764,3,CollgCr,1997,1997,2009,928,231500
1232,3,OldTown,1910,1950,2007,616,114000
865,2,Edwards,1920,1995,2007,660,108500
1141,3,SawyerW,2006,2006,2009,1141,152000
1558,2,CollgCr,1975,2001,2008,864,163000
923,3,Mitchel,1984,1985,2008,876,119500
768,2,Mitchel,1970,1970,2007,768,129500
1442,3,SawyerW,1990,1991,2007,910,179900
1743,3,NWAmes,1968,1968,2007,702,175000
1229,2,Blueste,1980,1992,2009,561,137000
1609,3,Crawfor,1932,1990,2006,637,199500
1430,3,IDOTRR,1924,1950,2006,596,107000
1180,2,Crawfor,1922,1950,2006,700,137500
1973,3,NridgHt,2006,2006,2007,1935,395000
1362,1,Mitchel,1993,1995,2009,796,143000
948,3,Edwards,1954,1954,2007,948,119000
694,2,Crawfor,1913,2002,2007,440,90350
1196,2,NAmes,1956,1956,2008,1196,139000
1418,1,Somerst,2010,2010,2010,1642,267916
1440,4,Sawyer,1968,1968,2010,720,163000
1464,3,Somerst,2007,2007,2007,1485,282922
1529,4,Edwards,1945,1950,2009,0,98000
1709,3,Edwards,2004,2006,2006,970,130000
2100,3,NridgHt,2007,2007,2007,918,319500
2290,2,NridgHt,2007,2007,2007,2320,500067
1315,3,IDOTRR,1958,1958,2007,808,99500
1093,3,NWAmes,1966,1966,2007,1093,158500
1218,3,BrkSide,1941,1950,2007,735,131000
1200,3,NAmes,1956,1956,2009,1200,144000
816,2,Mitchel,1983,1983,2008,816,128500
1163,3,OldTown,1955,2005,2006,1162,126175
2358,4,NridgHt,2005,2006,2006,1524,329900
1604,3,Gilbert,1997,1998,2008,926,181000
1012,2,SawyerW,1920,1950,2010,816,67500
2084,4,SawyerW,2004,2004,2010,956,233000
1335,3,Somerst,2006,2007,2007,1335,210400
1220,2,Edwards,1951,1951,2006,836,102000
733,2,IDOTRR,1952,1952,2008,0,13100
2097,1,Somerst,2005,2006,2006,2077,423000
2389,4,NridgHt,2006,2006,2006,1054,298236
816,2,Edwards,1938,1958,2009,816,100000
2217,4,NAmes,1970,1970,2007,2217,268000
1948,4,CollgCr,2004,2005,2006,847,195000
816,2,Mitchel,1982,2003,2008,816,138000
1026,3,CollgCr,1977,2004,2010,1026,150000
1651,3,Timber,1986,1986,2008,1606,184000
1960,4,OldTown,1952,1952,2009,960,124500
1167,3,BrkSide,1920,1950,2007,915,144000
1339,3,NAmes,1958,1965,2009,1029,139000
2014,3,Timber,2003,2003,2009,912,170000
1328,3,OldTown,1950,1970,2009,768,129500
1226,3,CollgCr,2009,2009,2010,1226,198900
1036,3,NAmes,1953,1953,2008,1036,112900
846,2,OldTown,1920,1950,2009,720,106000
987,2,BrDale,1973,1973,2009,483,111000
2276,3,CollgCr,2008,2008,2008,2271,475000
1547,3,Somerst,2009,2009,2010,756,215200
1040,2,NAmes,1950,1950,2006,0,81400
876,3,CollgCr,1972,1972,2010,876,127000
882,3,CollgCr,1972,1972,2007,882,112500
1266,2,Blmngtn,2007,2007,2007,1266,185485
1403,3,IDOTRR,1915,1965,2009,698,116000
1536,4,BrkSide,1930,1950,2010,928,138400
1008,1,Mitchel,1977,1977,2007,923,153500
1364,2,NridgHt,2005,2005,2006,1364,185850
1264,2,Mitchel,1965,1977,2010,1068,169000
1226,1,Greens,1980,1980,2006,1226,190000
2422,4,ClearCr,1954,1994,2007,1288,255000
1365,3,BrDale,1973,1973,2006,765,125500
1578,3,NAmes,1941,1950,2006,806,133000
4476,4,NoRidge,1996,1996,2007,2396,745000
1056,3,NAmes,1968,1968,2010,1056,142000
1287,2,Mitchel,1977,1977,2009,957,173000
1594,3,Gilbert,2004,2004,2009,846,195500
1148,3,NAmes,1959,1959,2009,1148,132500
1790,4,NWAmes,1972,1972,2006,732,165150
1230,3,BrkSide,1946,1950,2006,747,121600
1200,2,Somerst,2004,2005,2010,600,151000
1656,4,NWAmes,1973,1973,2008,1656,135000
952,2,NAmes,1951,1951,2008,952,139000
1317,3,IDOTRR,1920,1950,2008,649,40000
2704,4,NAmes,1972,1995,2009,1952,345000
1671,3,Veenker,1976,2007,2008,1426,290000
2042,3,StoneBr,2006,2007,2007,1742,455000
1716,4,BrkSide,1915,2004,2008,810,162500
864,3,SWISU,1958,1958,2007,864,118000
1826,3,StoneBr,2005,2006,2006,1814,319000
1536,4,IDOTRR,1952,1952,2008,768,136000
2122,4,SawyerW,1996,1997,2009,913,220000
1710,3,SawyerW,1993,1993,2008,832,187000
1680,4,Crawfor,1915,1976,2008,840,177000
1585,3,SawyerW,2005,2005,2006,784,184900
1334,2,NWAmes,1977,1977,2009,1350,167900
2349,4,NoRidge,1993,1993,2010,1231,362500
1940,3,NridgHt,2009,2010,2010,1930,395192
1684,2,NridgHt,2005,2005,2008,1684,266000
1855,4,Edwards,1954,1972,2006,994,136900
1657,4,OldTown,1920,1980,2006,1147,111500
1630,3,Gilbert,2004,2005,2009,868,189500
